emp_no,first_name,last_name,to_date,title
10126,Kayoko,Valtorta,9999-01-01,Senior Staff
10127,Subir,Baja,9999-01-01,Senior Engineer
10129,Armond,Peir,9999-01-01,Technique Leader
10130,Nishit,Casperson,9999-01-01,Senior Engineer
10131,Magdalena,Eldridge,1999-12-06,Engineer
10134,Diederik,Siprelle,9999-01-01,Senior Engineer
10138,Perry,Shimshoni,9999-01-01,Senior Engineer
10149,Xiadong,Perry,1996-08-27,Staff
10150,Zhenbing,Perng,9999-01-01,Senior Engineer
10152,Jaques,Munro,1987-08-03,Engineer
10153,Heekeun,Majewski,9999-01-01,Assistant Engineer
10157,Nigel,Aloisi,9999-01-01,Senior Engineer
10159,Serif,Buescher,9999-01-01,Senior Engineer
10160,Debatosh,Khasidashvili,9999-01-01,Senior Staff
10161,Hairong,Mellouli,1994-01-05,Engineer
10163,Karsten,Szmurlo,9999-01-01,Senior Staff
10166,Samphel,Siegrist,9999-01-01,Engineer
10177,Pragnesh,Iisaka,1994-03-17,Staff
10183,Mechthild,Bonifati,9999-01-01,Staff
10186,Shigehito,Kropatsch,1997-08-16,Staff
10189,Khalid,Erva,1993-06-29,Engineer
10194,Josyula,Hofmeyr,9999-01-01,Senior Staff
10196,Marc,Hellwagner,9999-01-01,Staff
10198,Pranav,Furedi,9999-01-01,Senior Engineer
10203,Steen,Escriba,9999-01-01,Senior Staff
10205,Mabhin,Leijenhorst,9999-01-01,Senior Engineer
10207,Girolamo,Anandan,9999-01-01,Senior Engineer
10215,Xiaobin,Duclos,9999-01-01,Senior Staff
10217,Yongmin,Roison,1993-08-05,Technique Leader
10219,Genta,Kolvik,9999-01-01,Senior Staff
10224,Leon,Trogemann,9999-01-01,Senior Engineer
10228,Karoline,Cesareni,9999-01-01,Senior Staff
10229,Ulises,Takanami,2000-06-30,Engineer
10230,Clyde,Vernadat,9999-01-01,Senior Staff
10233,Lein,Vendrig,9999-01-01,Senior Staff
10237,Yannis,Mandell,2000-02-21,Senior Staff
10239,Nikolaos,Llado,9999-01-01,Staff
10240,Remko,Maccarone,9999-01-01,Engineer
10248,Frederique,Tempesti,9999-01-01,Senior Staff
10249,Marie,Boreale,9999-01-01,Senior Engineer
10258,Basil,Ishibashi,9999-01-01,Senior Engineer
10262,Mahendra,Maraist,9999-01-01,Staff
10272,Yishai,Cannane,9999-01-01,Staff
10278,Lubomir,Nitsch,1997-02-14,Engineer
10281,Moty,Kusakari,9999-01-01,Senior Engineer
10282,Hercules,Benzmuller,9999-01-01,Engineer
10283,Kauko,Birjandi,9999-01-01,Senior Engineer
10284,Masali,Murrill,9999-01-01,Engineer
10286,Saddek,Gopalakrishnan,1999-01-24,Staff
10294,Rutger,Miara,1999-05-04,Senior Engineer
10295,Kristine,Velardi,9999-01-01,Senior Staff
10298,Dietrich,DuCasse,9999-01-01,Staff
10302,Faiza,Baer,1999-11-09,Senior Staff
10305,Hirochika,Piancastelli,1992-06-02,Engineer
10306,Heng,Kilgour,9999-01-01,Staff
10307,Nikolaos,Leaver,9999-01-01,Engineer
10321,Guenter,Ravishankar,1999-08-14,Staff
10322,Isamu,Dahlbom,9999-01-01,Senior Engineer
10325,Arunachalam,Badr,9999-01-01,Senior Staff
10326,Masali,Czap,9999-01-01,Staff
10327,Roded,Facello,1993-05-22,Engineer
10328,Serenella,Kawashima,9999-01-01,Engineer
10333,Snehasis,Dymetman,9999-01-01,Senior Engineer
10340,Djelloul,Laventhal,9999-01-01,Senior Staff
10343,Dinah,Syrzycki,9999-01-01,Senior Engineer
10347,Pradeep,Kaminger,9999-01-01,Staff
10349,Oksana,Brodie,9999-01-01,Senior Staff
10350,Kristen,Kavvadias,1998-01-16,Engineer
10353,Phule,Hammerschmidt,9999-01-01,Senior Staff
10355,Satyanarayana,Cochrane,9999-01-01,Staff
10356,Vasilis,Standera,9999-01-01,Senior Staff
10358,Qunsheng,Tagansky,9999-01-01,Technique Leader
10363,Toshiki,Muniz,1993-02-12,Assistant Engineer
10364,Nakhoon,Dengi,9999-01-01,Senior Engineer
10367,Hyuckchul,Gini,9999-01-01,Senior Staff
10372,Anneli,Frijda,9999-01-01,Technique Leader
10374,Willard,Rosin,1996-03-29,Staff
10377,Marl,Grospietsch,9999-01-01,Senior Engineer
10382,Shirish,Dredge,2000-10-27,Engineer
10387,Parto,Wrigley,9999-01-01,Senior Staff
10388,Hironoby,Kaiser,9999-01-01,Staff
10389,Make,Peir,9999-01-01,Technique Leader
10395,Takahiro,Deverell,2001-08-13,Engineer
10396,Sibyl,Rahier,9999-01-01,Senior Engineer
10397,Irena,Reutenauer,9999-01-01,Technique Leader
10402,Volkmar,Ebeling,9999-01-01,Technique Leader
10404,Prodip,Rosti,9999-01-01,Senior Engineer
10407,Ulf,Siepmann,9999-01-01,Senior Staff
10413,Danel,Impagliazzo,9999-01-01,Senior Staff
10414,Yinlin,Alpin,1994-12-02,Senior Engineer
10418,Candida,Porotnikoff,9999-01-01,Staff
10422,Greger,Rubsam,9999-01-01,Engineer
10426,Arunas,Luce,9999-01-01,Technique Leader
10429,Martien,Improta,9999-01-01,Senior Engineer
10432,Hisao,Tiemann,9999-01-01,Senior Staff
10433,Reuven,Dengi,9999-01-01,Engineer
10442,Volkmar,Unno,2001-03-13,Senior Staff
10443,Shichao,Litvinov,2002-07-06,Senior Engineer
10451,Bodh,Ranta,9999-01-01,Senior Engineer
10453,Tsvetan,Matzel,9999-01-01,Senior Staff
10463,Ung,Zaiane,9999-01-01,Staff
10466,Jiakeng,Himler,2000-08-15,Staff
10477,Guoxiang,Trogemann,9999-01-01,Senior Engineer
10486,Amstein,Kossowski,9999-01-01,Senior Engineer
10494,Yakkov,Servieres,9999-01-01,Senior Engineer
10497,Pramod,Rabehasaina,9999-01-01,Senior Engineer
10499,Maik,Luft,9999-01-01,Senior Staff
10503,Dannz,Pell,9999-01-01,Engineer
10504,Xiong,Varker,9999-01-01,Staff
10509,Abdelwaheb,Riesenhuber,9999-01-01,Senior Staff
10512,Udi,Gihr,9999-01-01,Senior Staff
10517,Tiina,Speek,9999-01-01,Senior Staff
10519,Yonghoan,Alencar,2001-10-13,Senior Staff
10522,Marke,Cesareni,9999-01-01,Senior Staff
10529,Ymte,Yetto,9999-01-01,Assistant Engineer
10531,Oguz,Gimbel,9999-01-01,Staff
10538,Przemyslawa,Falby,1998-12-13,Senior Engineer
10541,Godehard,Eiter,1986-10-01,Staff
10542,Yannis,Couchot,9999-01-01,Senior Engineer
10548,Ramalingam,Gunderson,9999-01-01,Senior Staff
10552,Kazuhito,Shiratori,9999-01-01,Senior Engineer
10564,Jianhao,Thisen,9999-01-01,Senior Engineer
10568,Gao,Poulakidas,9999-01-01,Staff
10575,Theirry,Yeung,2000-11-22,Senior Engineer
10586,Kirk,Vuskovic,9999-01-01,Senior Engineer
10591,Hidde,Hettesheimer,1988-09-20,Staff
10593,Falguni,Kenevan,9999-01-01,Senior Engineer
10596,Sanjit,Coors,9999-01-01,Senior Staff
10603,Wayne,Restivo,9999-01-01,Staff
10608,Adhemar,Talmor,1991-06-02,Senior Engineer
10610,Irena,Roccetti,9999-01-01,Engineer
10614,Gila,Ozeri,9999-01-01,Senior Engineer
10615,Keung,Delgrande,9999-01-01,Senior Staff
10617,Hidekazu,Angel,2001-10-03,Senior Staff
10623,Aleksander,Danlos,9999-01-01,Senior Engineer
10624,Sham,Gyorkos,9999-01-01,Technique Leader
10628,Krisda,Krogh,9999-01-01,Senior Engineer
10629,Lalit,Francisci,2001-12-07,Staff
10630,Bezalel,Katzenelson,9999-01-01,Engineer
10631,Inderjeet,Chaudhuri,9999-01-01,Engineer
10634,Nahid,Chepyzhov,9999-01-01,Senior Engineer
10636,Saeko,Porotnikoff,9999-01-01,Staff
10637,Heejo,Frolund,2000-01-19,Senior Staff
10639,Pramod,Erol,9999-01-01,Senior Engineer
10641,Guozhong,Zucker,9999-01-01,Engineer
10642,Hirochika,Narlikar,9999-01-01,Engineer
10653,Otmar,Feinberg,9999-01-01,Senior Engineer
10667,Makato,Cusworth,9999-01-01,Senior Staff
10671,Parviz,Rebaine,9999-01-01,Senior Staff
10672,Bluma,Zeilberger,1996-04-19,Senior Engineer
10676,Valeri,Danley,9999-01-01,Engineer
10683,Guiseppe,Stranks,9999-01-01,Senior Engineer
10693,Berhard,Daescu,9999-01-01,Senior Staff
10694,Rildo,Straney,2001-07-11,Senior Staff
10696,Unal,Fendler,9999-01-01,Technique Leader
10702,Bader,Szemeredi,9999-01-01,Senior Engineer
10712,Uma,Koprowski,9999-01-01,Senior Engineer
10718,Adib,Rullman,9999-01-01,Senior Engineer
10726,Zita,Minakawa,9999-01-01,Senior Engineer
10731,Fumitaka,Peak,2000-10-09,Senior Staff
10734,Sachar,Erdi,9999-01-01,Engineer
10741,Sven,Huttel,9999-01-01,Senior Staff
10742,Shim,Wiegley,9999-01-01,Technique Leader
10745,Poorav,Ranze,9999-01-01,Senior Engineer
10747,Falguni,Khalid,1999-09-20,Senior Engineer
10749,King,Brendel,9999-01-01,Senior Engineer
10750,Roddy,Demeyer,9999-01-01,Technique Leader
10751,Jordanka,Ushiama,2000-12-05,Engineer
10764,Yunming,Beetstra,9999-01-01,Senior Engineer
10767,Monique,Doering,9999-01-01,Staff
10768,Ishfaq,Candan,9999-01-01,Senior Engineer
10777,Mizuhito,Kemmerer,2001-03-27,Senior Engineer
10778,Selwyn,Merey,9999-01-01,Senior Staff
10780,Goncalo,Staudhammer,1996-08-18,Engineer
10782,Kish,Perna,2002-03-30,Staff
10791,Tadahiko,Sgarro,9999-01-01,Senior Engineer
10795,Supot,Naudin,9999-01-01,Senior Staff
10801,Uinam,Zschoche,2001-01-15,Engineer
10803,Katsuyuki,Velasco,2002-04-02,Senior Engineer
10808,Chenxi,Leijenhorst,9999-01-01,Senior Engineer
10811,Ashish,Fortenbacher,9999-01-01,Engineer
10813,Shalesh,Shumilov,9999-01-01,Senior Staff
10814,Nidapan,Dymetman,9999-01-01,Senior Staff
10826,Arnd,Anandan,9999-01-01,Senior Engineer
10827,Willard,Danley,9999-01-01,Staff
10829,Alper,Narahara,1993-11-29,Staff
10830,Fen,Fiebach,9999-01-01,Senior Staff
10831,Toong,Driscoll,9999-01-01,Technique Leader
10833,Krisda,Gecseg,9999-01-01,Technique Leader
10834,Huiqun,Rajcani,9999-01-01,Engineer
10835,Tomoyuki,Kermarrec,9999-01-01,Engineer
10836,Jianhua,Leivant,9999-01-01,Senior Staff
10844,Dipayan,Koprowski,9999-01-01,Engineer
10846,Tokuyasu,Serre,9999-01-01,Senior Engineer
10847,Theirry,Danley,9999-01-01,Senior Staff
10848,Fen,Bratsberg,9999-01-01,Senior Engineer
10849,Makato,Mayerwieser,9999-01-01,Engineer
10854,Jagoda,Nannarelli,9999-01-01,Engineer
10858,Kenroku,Gonthier,9999-01-01,Senior Engineer
10867,Billur,Gyorkos,2002-03-22,Engineer
10871,Aram,Gilg,9999-01-01,Staff
10872,Karoline,Speel,9999-01-01,Senior Staff
10873,Sukumar,Wegerle,9999-01-01,Staff
10876,Vincent,Papastamatiou,1999-09-14,Staff
10878,Lakshmi,Deville,9999-01-01,Staff
10879,Muzhong,Chleq,9999-01-01,Senior Engineer
10882,Fun,Heuser,9999-01-01,Engineer
10883,Shimshon,Champarnaud,9999-01-01,Engineer
10885,Rayond,Cronau,9999-01-01,Senior Staff
10887,Lunjin,DeMori,9999-01-01,Senior Engineer
10895,Vishwani,Petersohn,1987-04-13,Staff
10900,Ferdinand,Prenel,9999-01-01,Senior Engineer
10906,Munehiro,Carrere,9999-01-01,Staff
10909,Georgi,Atchley,9999-01-01,Senior Engineer
10912,Oscal,Fasbender,1999-09-26,Senior Staff
10913,Narain,Thummel,9999-01-01,Staff
10918,Susumu,Reghbati,1990-10-10,Staff
10920,Ronghao,Narahara,9999-01-01,Senior Staff
10921,Mara,Bahi,9999-01-01,Senior Engineer
10922,Kyoichi,Wossner,1999-01-16,Staff
10924,Hironoby,Atchley,9999-01-01,Senior Staff
10926,Leni,Eppinger,9999-01-01,Senior Engineer
10927,Gal,Scallan,9999-01-01,Senior Staff
10930,Arch,Minakawa,9999-01-01,Senior Engineer
10932,Avishai,Picci,9999-01-01,Senior Engineer
10936,Mountaz,Schicker,9999-01-01,Senior Staff
10940,Aleksander,Fioravanti,1999-12-02,Engineer
10942,Toshimitsu,Larfeldt,9999-01-01,Engineer
10943,Berna,Skafidas,9999-01-01,Senior Engineer
10944,Remko,Zyda,9999-01-01,Senior Engineer
10947,Gor,Usery,9999-01-01,Senior Staff
10948,Shigehito,Brodie,1997-06-23,Senior Engineer
10949,Shigeichiro,Wroclawski,9999-01-01,Senior Staff
10956,Arno,Picel,9999-01-01,Engineer
10965,Eckart,Braunschweig,9999-01-01,Senior Staff
10969,Premal,Noriega,9999-01-01,Senior Engineer
10971,Isamu,Vadhan,1998-10-24,Technique Leader
10974,Muneo,Papsdorf,9999-01-01,Senior Engineer
10985,Chiradeep,Furedi,1999-03-10,Engineer
10986,Masako,Schiper,9999-01-01,Technique Leader
10987,Flemming,Baezner,9999-01-01,Engineer
10988,Chinya,Deyuan,9999-01-01,Senior Engineer
10989,Sumali,Candan,9999-01-01,Senior Staff
10990,Shin,Foote,9999-01-01,Technique Leader
10996,Matk,Rahimi,9999-01-01,Senior Staff
11002,Bluma,Ulupinar,2001-12-07,Senior Staff
11004,JoAnna,Decleir,9999-01-01,Senior Engineer
11009,Alper,Axelband,9999-01-01,Senior Staff
11012,Taegyun,Speckmann,9999-01-01,Staff
11019,Leon,Huttel,9999-01-01,Senior Engineer
11021,Srinidhi,Henders,9999-01-01,Staff
11024,Manton,Collavizza,2001-05-18,Staff
11027,Remzi,Cappello,9999-01-01,Senior Engineer
11028,Miyeon,Krider,1997-09-04,Senior Engineer
11031,Ottavia,Walstra,9999-01-01,Senior Staff
11032,Erez,Schaaf,9999-01-01,Staff
11037,Lansing,Maliniak,9999-01-01,Senior Engineer
11038,Jinya,Beidas,9999-01-01,Senior Staff
11042,Gou,Breugel,9999-01-01,Senior Engineer
11048,Jaques,Demke,9999-01-01,Senior Staff
11050,Elvis,Katiyar,9999-01-01,Senior Staff
11051,Przemyslawa,Erol,9999-01-01,Senior Engineer
11056,Palash,Speel,9999-01-01,Staff
11060,Genevieve,Pokrovskii,1991-09-27,Staff
11061,Pintsang,Erni,9999-01-01,Senior Staff
11064,Shawna,Vieri,9999-01-01,Senior Engineer
11066,Shaz,Langford,9999-01-01,Senior Staff
11070,Adib,Raney,9999-01-01,Senior Engineer
11071,Kwan,Sigstam,9999-01-01,Senior Engineer
11075,Karsten,Belinskaya,9999-01-01,Senior Engineer
11077,Hideyuki,Merro,1998-10-11,Senior Staff
11079,Piyush,Garigliano,9999-01-01,Senior Engineer
11081,Barry,Boyle,9999-01-01,Senior Staff
11083,Shimshon,Ducloy,9999-01-01,Senior Staff
11084,Greger,Senzako,9999-01-01,Senior Engineer
11085,Hailing,Thummel,9999-01-01,Senior Engineer
11087,Changho,Jayawardene,9999-01-01,Senior Engineer
11089,Conal,Henders,9999-01-01,Senior Staff
11091,Souichi,Ramsay,9999-01-01,Engineer
11092,Narain,Stamatiou,9999-01-01,Staff
11098,Arnd,Covnot,9999-01-01,Engineer
11100,Berna,Cochrane,9999-01-01,Senior Staff
11106,Aris,Iwayama,9999-01-01,Senior Engineer
11110,Valeska,Birjandi,1992-03-30,Staff
11111,Udi,Zastre,9999-01-01,Assistant Engineer
11112,Boaz,Mukaidono,9999-01-01,Staff
11113,Shahab,Peng,9999-01-01,Senior Staff
11114,Tse,Felcyn,1999-06-22,Staff
11119,Ramzi,Luga,1995-10-23,Engineer
11121,Vugranam,Kakkad,9999-01-01,Senior Engineer
11130,Xinyu,Menhoudj,9999-01-01,Senior Staff
11132,Kristin,Harnett,9999-01-01,Senior Engineer
11133,Nalini,Azulay,9999-01-01,Technique Leader
11134,Sachar,Rajcani,9999-01-01,Senior Engineer
11137,Hugh,Luca,9999-01-01,Engineer
11139,Bogdan,Homond,9999-01-01,Senior Staff
11143,Yongdong,Rosen,9999-01-01,Engineer
11144,Carrsten,Heinisuo,9999-01-01,Senior Staff
11145,Jinxi,Baak,1999-05-24,Engineer
11146,Ishfaq,Masand,9999-01-01,Senior Staff
11147,Ayonca,Nitsch,9999-01-01,Engineer
11148,Zhanqiu,Botman,9999-01-01,Senior Staff
11156,Tomoyuki,Armand,1998-07-31,Staff
11158,Masaki,Hagimont,9999-01-01,Senior Engineer
11162,Kauko,Narlikar,9999-01-01,Senior Engineer
11168,Shmuel,Tetzlaff,9999-01-01,Senior Staff
11170,Minghong,Cannard,9999-01-01,Senior Engineer
11174,Akhilish,Milicia,9999-01-01,Engineer
11177,Chrisa,dAstous,9999-01-01,Senior Engineer
11180,Mitsuyuki,Bojadziev,9999-01-01,Senior Engineer
11181,Hausi,Cullers,9999-01-01,Engineer
11185,Aloys,Baezner,9999-01-01,Senior Staff
11186,Kshitij,Stasinski,9999-01-01,Senior Engineer
11189,Dante,Bodoff,9999-01-01,Senior Staff
11192,Apostol,Bahr,9999-01-01,Engineer
11195,Masanao,Lovengreen,1999-05-16,Senior Engineer
11197,Tadahiro,Fordan,9999-01-01,Senior Staff
11201,Jouko,Masaki,9999-01-01,Staff
11203,Sakthirel,Yetto,1996-06-15,Senior Staff
11204,Diederik,Covnot,9999-01-01,Technique Leader
11206,Steen,Sury,2000-05-04,Staff
11207,Saeed,Gips,9999-01-01,Engineer
11208,Saniya,Valtorta,9999-01-01,Technique Leader
11211,Yurij,Rissland,9999-01-01,Senior Engineer
11213,Vugranam,Munoz,9999-01-01,Technique Leader
11217,Kellie,Mawatari,9999-01-01,Senior Engineer
11218,Kirk,Hemaspaandra,2002-04-19,Technique Leader
11221,Alselm,Hammerschmidt,1995-03-13,Engineer
11229,Gretta,Ramamoorthy,9999-01-01,Senior Engineer
11232,Hidefumi,Crelier,9999-01-01,Senior Staff
11233,Sanjit,Waschkowski,9999-01-01,Senior Engineer
11240,Kiam,Condotta,9999-01-01,Engineer
11243,Udi,Desikan,9999-01-01,Assistant Engineer
11249,Randi,Cyre,9999-01-01,Engineer
11251,Bezalel,Chinal,9999-01-01,Senior Staff
11253,Koldo,Pokrovskii,9999-01-01,Senior Engineer
11254,Danel,Rindone,9999-01-01,Staff
11258,Aris,Maccarone,9999-01-01,Senior Staff
11266,Florina,Rohrbach,9999-01-01,Senior Engineer
11267,Shaunak,Zaumen,9999-01-01,Senior Engineer
11268,Aimee,Petersohn,9999-01-01,Senior Engineer
11274,Masanao,Nicolson,9999-01-01,Staff
11275,Hitomi,Eppinger,9999-01-01,Senior Engineer
11288,Domenico,Eastman,1997-09-28,Senior Staff
11289,Chuanti,Cherinka,9999-01-01,Senior Engineer
11290,Visit,Dredge,9999-01-01,Engineer
11291,Gino,Glowinski,2001-04-15,Senior Engineer
11292,Souichi,Sichman,9999-01-01,Senior Engineer
11294,Tru,Segond,9999-01-01,Senior Engineer
11295,Abdelkader,Lanzelotte,9999-01-01,Senior Staff
11296,Hironobu,Kenevan,9999-01-01,Senior Engineer
11297,Geraldo,Levergood,1991-02-22,Engineer
11300,Lillian,Fontet,1996-12-20,Engineer
11301,Mingzeng,Oxenboll,9999-01-01,Senior Staff
11302,Shem,Senzako,1993-01-29,Staff
11315,Neven,Meriste,2002-01-17,Staff
11317,Shigeaki,Hagimont,9999-01-01,Senior Staff
11319,Pranas,Marrakchi,9999-01-01,Assistant Engineer
11320,Atilio,McAlpine,9999-01-01,Senior Staff
11322,Nathalie,Pocchiola,9999-01-01,Senior Engineer
11324,Kauko,Billingsley,9999-01-01,Senior Engineer
11325,Samphel,Rossi,9999-01-01,Engineer
11326,Munenori,Plesums,9999-01-01,Senior Engineer
11338,Kwangsub,Hanratty,9999-01-01,Senior Staff
11339,Flemming,Massonet,9999-01-01,Senior Engineer
11340,Aris,Bala,9999-01-01,Senior Engineer
11343,Susanne,Erez,9999-01-01,Senior Engineer
11347,Anneli,Jonsson,9999-01-01,Senior Engineer
11349,Yurii,Hammerschmidt,9999-01-01,Engineer
11360,Fen,Schach,9999-01-01,Senior Staff
11365,Toshimi,Shinomoto,9999-01-01,Engineer
11372,Susanta,Vilarrasa,2000-05-04,Senior Staff
11373,Yongmao,Keohane,9999-01-01,Senior Staff
11376,Valery,Suomi,9999-01-01,Senior Staff
11380,Kenroku,Pelc,9999-01-01,Senior Engineer
11385,Shiv,Ullian,9999-01-01,Engineer
11386,Alselm,Assaf,9999-01-01,Senior Engineer
11387,Jordanka,Kalloufi,1997-12-13,Engineer
11393,Junsik,Junot,9999-01-01,Senior Engineer
11396,Anneke,Servieres,9999-01-01,Engineer
11398,Oscar,Peir,9999-01-01,Senior Staff
11401,Huan,Merey,9999-01-01,Staff
11404,Bedrich,Borovoy,9999-01-01,Technique Leader
11406,Eberhardt,Gini,9999-01-01,Senior Staff
11410,Gro,Vendrig,9999-01-01,Engineer
11414,Eishiro,Pearson,1997-10-06,Senior Staff
11415,Sanjiv,Anido,9999-01-01,Engineer
11417,Anneli,Cyne,9999-01-01,Technique Leader
11418,Satosi,Cooley,9999-01-01,Senior Staff
11420,Tsutomu,Lalonde,9999-01-01,Senior Staff
11421,Josyula,Msuda,9999-01-01,Senior Engineer
11423,Guangming,Kopetz,9999-01-01,Staff
11425,Renee,Crelier,9999-01-01,Senior Engineer
11428,Remco,Reinhart,1998-07-04,Engineer
11431,Youngkon,Picht,2001-03-03,Senior Staff
11441,Marlo,Aingworth,9999-01-01,Senior Staff
11446,Naftali,Narahara,9999-01-01,Senior Engineer
11449,Kotesh,Asser,9999-01-01,Senior Engineer
11451,Eben,Rajaraman,9999-01-01,Senior Engineer
11452,Shigehito,Luby,9999-01-01,Senior Staff
11459,Duke,Suomi,9999-01-01,Senior Staff
11460,Mana,Maraist,9999-01-01,Senior Engineer
11461,Kish,Cronau,1997-07-20,Senior Engineer
11468,Navin,Maksimenko,1997-04-07,Staff
11469,Guttorm,Giaccio,9999-01-01,Senior Engineer
11474,Gennady,Akazan,9999-01-01,Engineer
11476,Manton,Yoshizawa,9999-01-01,Staff
11477,Fox,Narahari,1996-09-12,Engineer
11479,Shridhar,Pleszkun,9999-01-01,Staff
11501,Karsten,Ranum,2002-03-20,Senior Staff
11503,Nathan,Picht,9999-01-01,Senior Engineer
11506,Rance,Picel,9999-01-01,Staff
11509,Aleksander,Feldhoffer,9999-01-01,Senior Engineer
11513,Otmar,Mahnke,9999-01-01,Senior Staff
11515,Ulf,Basawa,9999-01-01,Staff
11518,Jinxi,Oxman,9999-01-01,Senior Staff
11519,Halsur,Chinen,9999-01-01,Senior Staff
11521,Eldridge,Eastman,2000-06-08,Staff
11523,Yuguang,Pezzoli,9999-01-01,Engineer
11524,Xiadong,Standera,9999-01-01,Senior Engineer
11526,Tonny,Impagliazzo,1998-11-28,Senior Staff
11527,Alagu,Boyle,9999-01-01,Staff
11528,Zito,Dolinsky,9999-01-01,Technique Leader
11531,Radhika,Motley,9999-01-01,Technique Leader
11533,Vitaly,Lorch,9999-01-01,Technique Leader
11537,DAIDA,Pehl,9999-01-01,Senior Staff
11540,Chanjung,Portugali,9999-01-01,Senior Engineer
11554,Subhash,Taubenfeld,9999-01-01,Staff
11555,Kotesh,Perfilyeva,9999-01-01,Senior Staff
11562,Rimli,Alencar,1994-12-13,Engineer
11567,Teiji,Mitzlaff,9999-01-01,Senior Staff
11568,Martins,Fujisaki,9999-01-01,Senior Engineer
11573,Pranas,Hutton,9999-01-01,Senior Engineer
11575,Godehard,Plotkin,9999-01-01,Engineer
11577,Mayumi,Deyuan,9999-01-01,Senior Engineer
11578,Edwin,Rosti,2002-02-17,Senior Engineer
11581,Patricio,Rosenbaum,9999-01-01,Senior Engineer
11587,Shem,Zambonelli,9999-01-01,Senior Engineer
11588,Kaijung,Panangaden,1995-06-12,Senior Staff
11589,Gina,Plessier,9999-01-01,Senior Engineer
11595,Takanari,Kamber,9999-01-01,Senior Staff
11596,Yannik,Gunderson,9999-01-01,Staff
11597,Yongdong,Talmon,1998-12-07,Senior Engineer
11602,Somnath,Malabarba,9999-01-01,Senior Staff
11603,Herb,Swen,9999-01-01,Senior Staff
11606,Perry,Pepe,9999-01-01,Senior Staff
11607,Tomokazu,Foong,9999-01-01,Engineer
11615,Shem,Isaak,9999-01-01,Senior Staff
11616,Zhilian,Brendel,9999-01-01,Engineer
11624,Adil,Gammage,9999-01-01,Senior Engineer
11628,Fan,Malinowski,9999-01-01,Senior Engineer
11636,Fumitaka,Shiratori,1998-01-01,Engineer
11640,Valeri,Coorg,9999-01-01,Senior Engineer
11641,Chikako,Rothenberg,9999-01-01,Senior Engineer
11644,Sanjit,Zaiane,9999-01-01,Assistant Engineer
11646,Lobel,Rubsam,9999-01-01,Engineer
11647,Magy,Nitsche,9999-01-01,Senior Engineer
11649,Shen,Bernardinello,9999-01-01,Technique Leader
11660,Gill,Stenning,9999-01-01,Senior Staff
11664,Oksana,Brizzi,9999-01-01,Senior Staff
11667,Kristian,Marchegay,9999-01-01,Senior Staff
11673,Henk,Felder,9999-01-01,Technique Leader
11676,Valeri,Ferriere,9999-01-01,Engineer
11681,Fumitake,Benzmuller,9999-01-01,Senior Engineer
11684,Oksana,Gide,9999-01-01,Senior Staff
11686,Nadjib,Srimani,2000-07-22,Senior Staff
11690,Domenick,Raczkowsky,9999-01-01,Staff
11693,Hideo,Coorg,9999-01-01,Senior Engineer
11696,Dante,Rothe,9999-01-01,Senior Staff
11705,Arve,Hofmeyr,1994-06-30,Senior Staff
11708,Chenye,Angot,1996-07-28,Staff
11713,Danel,Heusch,9999-01-01,Senior Engineer
